№;Элементы интерфейса;Роль;навзвание действия;Вводные данные;Ожидание результатов;Результат;Коментарии
4.1.0.;Окно Authorization;;;;;;
4.1.0.1.;;Пользователь;ввод логина и паралоя;"Логин login2; Пароль password2";успешная аутификация;прошел;
4.1.0.1.1.;;Пользователь;;"Логин login2; Пароль password1";не успешная аутификация;прошел;
4.1.0.1.2.;;Пользователь;;"Логин login1; Пароль password2";не успешная аутификация;прошел;
4.1.0.1.2.;;Пользователь;;"Логин login1; Пароль password1";не успешная аутификация;прошел;
4.2.0.;Окно основное;;;;;;
4.2.0.1.;блок toolsBar;;;;;;
4.2.0.1.1;элемент меню;;;;;;
4.2.0.1.2;;Пользователь;нажатие на кнопки меню;нажать на меню;выдача окна дополнительного;прошел;
4.2.0.1.3;;Пользователь;нажатие на Main;при  показе окна меню;не успешная ;прошел;
4.2.0.1.4;;Пользователь;нажатие на Claims;при  показе окна меню;переход в claims;прошел;
4.2.0.1.5;;Пользователь;нажатие на News;при  показе окна меню;переход в news;прошел;
4.2.0.1.6;;Пользователь;нажатие на About;при  показе окна меню;переход на About;прошел;
4.2.0.1.7;;Пользователь;нажатие на логотип;при  показе окна меню;не чего не происходит;прошел;
4.2.0.1.8;;Пользователь;нажатие на бабучку;;"переходит на ""love is all""";прошел;
4.2.0.1.9;;Пользователь;нажатие на профель;нажатие на профиль;появление дополнительного окна;прошел;
4.2.0.1.10;;Пользователь;пункт log out;при показе окна профеля;переход на окно Authorization;прошел;
4.2.0.2.1;"блок ""NEWS""";;;;;;
4.2.0.2.2;;Пользователь;нажатие на надпись News;развернутый блок News;не чего не происходит;прошел;
4.2.0.2.3;;Пользователь;нажатие на кнопук ^;развернутый блок News;сворачивается блок News;прошел;
4.2.0.2.4;;Пользователь;нажатие на кнопук ^;свернутый блок News;разварачивает блок News;прошел;
4.2.0.2.5;;Пользователь;"нажатие на кнопку в блоке News ""ALL NEWS""";;переход в news;прошел;
4.2.0.2.6;;Пользователь;"нажатие на элемент  ""Отредактированное название""";"свернутый  элемент  ""Отредактированное названи""";"разварачивается элементы ""Отредактированное название""";прошел;
4.2.0.2.7;;Пользователь;"нажатие на элемент  ""Отредактированное название""";"развернутом  элементе  ""Отредактированное название""";"сворачивается элемент ""Отредактированное название""";прошел;
4.2.0.2.8;;Пользователь;"нажатие на элемент  ""Название новисти"" ";"свернутый  элементе  ""Название новисти"" ";"разварачивается элементы ""Название новисти"" ";прошел;
4.2.0.2.9;;Пользователь;"нажатие на элемент  ""Название новисти"" ";"развернутом  элементе   ""Название новисти"" ";"сворачивается элемент ""Название новисти"" ";прошел;
4.2.0.2.10;;Пользователь;"нажаьте на элемент  ""Неудаляемая новость""";"свернутый элементе ""Неудаляемая новость""";"разварачивается элементы ""Неудаляемая новость""";прошел;
4.2.0.2.11;;Пользователь;"нажаьте на элемент  ""Неудаляемая новость""";"развернутом  элементе  ""Неудаляемая новость""";"сворачивается элемент """"Неудаляемая новость""";прошел;
4.2.0.3.1;"блок ""Сlaims""     
";;;;;;
4.2.0.3.2;;Пользователь;нажатие на надпись Claims;"развернутый блок ""Claims""";не чего не происходит;прошел;
4.2.0.3.3;;Пользователь;"нажатие на кнопку ""+""";"развернутый блок ""Claims""";"открывается окно ""Creating Claims""";прошел;
4.2.0.3.4;;Пользователь;"нажатие на кнопку ""+""";"свернутый блок ""Claims""";"открывается окно ""Creating Claims""";прошел;
4.2.0.3.5;;Пользователь;нажатие на кнопук ^;"развернутый блок ""Claims""";"сворачивается блок ""Claims""";прошел;
4.2.0.3.6;;Пользователь;нажатие на кнопук ^;"свернутый блок ""Claims""";"разварачивает блок ""Claims""";прошел;
4.2.0.3.7;;Пользователь;"нажатие на элемент "" ALL Claims""";;"переход в ""Claims""";прошел;
4.2.0.3.8;;Пользователь;"нажатие на техт  ""topic""";;переходим в новость;прошел;
4.2.0.3.9;;Пользователь;"нажатие на элемент  ""стрелка вниз""";;переходим в новость;прошел;
4.3.0.;"окно ""Claims""";;;;;;
4.3.0.1;блок toolsBar;;;;;;
4.3.0.1.1;элемент меню;;;;;;
4.3.0.1.1.1;;Пользователь;нажатие на кнопки меню;нажать на меню;выдача окна дополнительного;прошел;
4.3.0.1.1.2;;Пользователь;нажатие на Main;при  показе окна меню;не успешная ;прошел;
4.3.0.1.1.3;;Пользователь;нажатие на Claims;при  показе окна меню;переход в claims;прошел;
4.3.0.1.1.4;;Пользователь;нажатие на News;при  показе окна меню;переход в news;прошел;
4.3.0.1.1.5;;Пользователь;нажатие на About;при  показе окна меню;переход на About;прошел;
4.3.0.1.2;;Пользователь;нажатие на логотип;при  показе окна меню;не чего не происходит;прошел;
4.3.0.1.3;;Пользователь;нажатие на бабучку;;"переходит на ""love is all""";прошел;
4.3.0.1.4.1;;Пользователь;нажатие на профель;нажатие на профиль;появление дополнительного окна;прошел;
4.3.0.1.4.2;;Пользователь;пункт log out;при показе окна профеля;переход на окно Authorization;прошел;
4.3.0.2;блок Claims;;;;;;
4.3.0.2.1;;Пользователь;"нажатие на кнопку ""+""";;"открывается окно ""Creating Claims""";прошел;
4.3.0.2.1;;Пользователь;"нажатие на кнопку ""Filtering""";;"открывается окно""Filtering""";прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 4 обьекта с разными пораметрами(open, in progress, Executed, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 3 обьекта с разными пораметрами( in progress, Executed, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 3 обьекта с разными пораметрами(open,  Executed, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 3 обьекта с разными пораметрами(open, in progress, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 3 обьекта с разными пораметрами(open, in progress, Executed );прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами( Executed, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами(open, in progress);прошел;
